text,timestamp,author,likes,replies,source
pq tá tendo tornado no Brasil? alguém sabe explicar? realmente não sei,2026-01-18T00:47:25.000Z,_victor458,194,20,tiktok
A gente não estava na zona safe?,2026-01-17T21:51:26.000Z,eumesmomesmo321,2570,7,tiktok
"que comentários são esses? vi alguém falando: ""esquece isso e vamos dançar"" tipo?",2026-01-16T21:36:22.000Z,vaitomarnocuzinhopreto,718,6,tiktok
Achei que fôssemos café com leite 🥺,2026-01-17T23:28:32.000Z,tiktoketlin,19,3,tiktok
gente mais respeito com os acontecimentos da vida dos outros q figuras são essas eu hem,2026-01-16T16:35:01.000Z,terezabarcem,1914,9,tiktok
"""nao saia sem dizer amém""",2026-01-18T02:36:33.000Z,rango255m,408,12,tiktok
oxe nosso servidor no era modo fácil ???,2026-01-18T03:57:30.000Z,carlos._01010,642,4,tiktok
o terremoto e tsunami e em qual ep?,2026-01-17T23:56:58.000Z,1carinhaporai,375,9,tiktok
as pessoas nos comentários confundindo tornado com furacão,2026-01-18T01:44:44.000Z,molyy.dx,379,1,tiktok
"Não é possível esses comentários, parece que a teoria da internet morta é real🫤",2026-01-16T18:51:06.000Z,ld.mankl,529,7,tiktok
"SOCORRO GENTEE, COMO APAGO OS STORYS ?",2026-01-17T00:49:21.000Z,larinhasafadinha90,7,25,tiktok
tenho q parar de ser curiosa,2026-01-17T06:09:52.000Z,tauany1806,26,0,tiktok
quem é o dono da empresa que que fabrica aquele tipo de matéria prima mesmo?,2026-01-17T19:13:44.000Z,otavio0m7,58,2,tiktok
nenhum comentário ou meme sobre o vídeo,2026-01-16T18:09:48.000Z,andrade_rlqzz,256,6,tiktok
Os comentários parecem ser bots de tão desconexos,2026-01-16T22:30:05.000Z,eduardaperri,380,2,tiktok
"gente o tornado é no PR, n no brasil, relaxem 🙏",2026-01-18T21:38:47.000Z,hatedvqq,1,1,tiktok
não passe sem deixar seu amém! [sticker],2026-01-17T13:23:59.000Z,v1raat,635,82,tiktok
curte para ela dançar 🥰 [sticker],2026-01-18T07:39:43.000Z,gabyzinhaaalves4,24,0,tiktok
curtiu-respondeu-mandeii (sem enrolação)😆😅,2026-01-17T06:11:34.000Z,duda.silv091,3,2,tiktok
Impossível me acharem nessa sexta-feira 🙈🎁. [sticker],2026-01-16T20:46:55.000Z,claraa_anaq,28,6,tiktok
gente no final da para ver nitidamente que foi o hex da wanda em ação,2026-01-18T15:43:10.000Z,gabe.84280,251,9,tiktok
Tem tornado no Brasil?,2026-01-18T10:45:39.000Z,josypdantas,1,2,tiktok
CURTE QUE EU MANDO KKKKKKKKK,2026-01-16T16:28:58.000Z,marialuizadesa6,27,5,tiktok
gente era eu.,2026-01-17T15:25:35.000Z,isa_belly1005,18,13,tiktok
mais alguém assistindo sábado de tarde?,2026-01-17T20:29:12.000Z,no.entrem.no.meu.p,271,11,tiktok
Jesus Cristo é o Senhor!,2026-01-18T20:53:29.000Z,eohenri_rp,1,0,tiktok
"to triste , alguém pra me consolar 😔???)",2026-01-18T04:52:27.000Z,tudo.na_bio,1,3,tiktok
