text,timestamp,author,likes,replies,source
ela tá bem?,2026-01-16T17:09:22.000Z,randadivaxx,8825,40,tiktok
o que me deixa impressionado é que no Brasil não tinha essas coisas,2026-01-17T16:04:30.000Z,edder.silva19,18449,189,tiktok
Deus tá voltando,2026-01-17T19:38:03.000Z,mariaeliete2438,5,4,tiktok
tá difícil Internet hoje em dia.,2026-01-17T23:05:59.000Z,kryalitho,13,0,tiktok
foi aqui do lado de onde moro são jose dos pinhais foi classificado como f2 esse tornado,2026-01-17T00:54:41.000Z,lizy013cbjr,1,0,tiktok
a menina vendo a árvore ser arrancada,2026-01-16T17:33:21.000Z,davikesley35,3538,7,tiktok
curti pra ela dançar😁😁 [sticker],2026-01-18T00:55:12.000Z,amanda.oliveira097,1106,7,tiktok
esqueci isso e vamos dançar [sticker],2026-01-16T20:05:30.000Z,talle.ssilva16,23,32,tiktok
Mano???,2026-01-16T20:32:19.000Z,kayy11862,247,0,tiktok
"ue escola, não era impossível ter tornados no Brasil?",2026-01-17T23:36:18.000Z,i2rizz.01,2166,78,tiktok
"🇧🇷ninguém vai ler, mas eu gostaria de espalhar o evangelho
Senhor meu Deus, e bom Pai que estás no céu, quero te agradecer pelo dia que tive hoje, comida quente na mesa, roupa limpa, ar no meu pulmão, uma nova chance de recomeçar. Quero te pedir para abençoar cada pessoa que leu até aqui, cada pessoa que não me ignorou, cada indivíduo que notou meu comentário, abençoe eles meu Senhor e nunca deixe com que falte algo na vida deles.
Tudo isso, Senhor meu Deus, eu te peço e te agradeço, não em meu nome, mas em nome do Teu filho amado Jesus Cristo, que vive e reina para sempre, Aceite Jesus Como Seu Único E Salvador Amém ❤️‍🩹❤️‍🩹 Nas Horas Ruins Ele Está Contigo, Confie Nele Lembre-se Jesus Está voltando, sinal Por toda parte do mundo vamos, pregar a palavra Dele amém..✝️✝️🫡",2026-01-18T07:05:48.000Z,ghost_itzzzzzzzzz,115,7,tiktok
quem é o presidente?,2026-01-16T17:05:45.000Z,antoniocassemiroc7,52,62,tiktok
qq o presidente tem a ver com os problemas da natureza?,2026-01-16T17:20:13.000Z,putz_luan2,540,0,tiktok
"cordilheira dos andes, oq significa isso.???",2026-01-18T20:29:22.000Z,an0n1m4w,48,4,tiktok
"gente, entendam! SEMPRE tivemos tornados, o que não temos são tsunamis, furacão, terremoto (de muita pressão), vulcões!!!",2026-01-18T14:57:06.000Z,hg_justino,686,10,tiktok
Hoje eu sonhei que um furacão enorme estava vindo na minha direção e destruindo varias casas,2026-01-17T22:47:39.000Z,nosei9214,191,23,tiktok
Por isso sempre bom ter um helicóptero,2026-01-17T18:45:11.000Z,thz_zilli777,267,6,tiktok
"Estou assistindo 16:55
E você ??",2026-01-17T19:58:10.000Z,bianquinha0rs,64,10,tiktok
proibido sair sem dizer seu amém 🙏 [sticker],2026-01-17T06:48:08.000Z,marianapoatant,469,44,tiktok
"favor, ajude os ursos polares!!!!!!!!
1: Não use IA
2: Use Ecosia em vez de Google, Ecosia planta uma árvore para cada 45 pesquisas
3: Use garrafas recarregáveis e reutilizáveis
4: Apague as luzes quando não for necessário ou ao sair da sala.
5: Pare de jogar lixo, jogue lixo na lata de lixo, não no chão; é para isso que servem as latas de lixo. Até mesmo pegar o menor pedaço de lixo ajudará. Por favor, compartilhe esta mensagem
(CÓPIA)",2026-01-16T17:18:17.000Z,liladivavaleu,52,18,tiktok
que comentários são esses?,2026-01-16T17:41:53.000Z,lud.im,505,10,tiktok
