text,timestamp,author,likes,replies,source
Looks great.  Sounds like it might be the best job you ever had.  For this young lady the learning experience will stick with her always.,2021-08-15T19:57:30.000Z,,5,0,facebook
This story makes me happy and hopeful. So inspiring and moving. From 1 small seed of an idea a community is changed. What a harvest!,2021-08-15T19:57:18.000Z,,12,0,facebook
I just love how you started off not knowing what you are doing with your life and you stumbled on such a great purpose. Amazing work!👏,2021-08-15T19:57:00.000Z,,36,1,facebook
This is so inspiring and an example of one drop turning into a wave.,2021-08-15T19:56:39.000Z,,8,0,facebook
Is it possible to make a donation to Harlem Grown?,2021-08-15T19:55:51.000Z,,14,5,facebook
"Beautiful souls learning to love growing plants and even more importantly, finding beauty in themselves and each other.",2021-08-15T19:55:43.000Z,,6,0,facebook
"Love when a HONY post is someone using their “15 minutes” to tell us about some other, under-appreciated person.",2021-08-15T19:55:18.000Z,,23,1,facebook
"So amazing how one small thing can have such a huge impact on so many! Just like the literal seeds were being planted in the ground, the seeds of change were planted in those people and now they've all come to fruition beautifully 😍😍😍",2021-08-15T19:55:07.000Z,,13,0,facebook
I am originally from NY with almost 35 years lived there and I have to say this story is just beautiful. I worked in Harlem for a bit and this is just heart warming. Now this is how you give back. So amazing!,2021-08-15T19:55:02.000Z,,24,0,facebook
Anyone else think this would make a great movie? Starring Will Smith...,2021-08-15T19:54:08.000Z,,51,9,facebook
"“But I knew how to google”, this is so powerful, access to information has literally changed whole communities❤️",2021-08-15T19:54:06.000Z,,34,0,facebook
"Yes! This is a great children’s book! 

https://www.amazon.com/Harlem-Grown-Idea-Transformed-Neighborhood/dp/1534402314",2021-08-15T19:53:57.000Z,,111,9,facebook
Food builds community. It is SO important.,2021-08-15T19:53:48.000Z,,10,0,facebook
I love how everything you say is “we”. 💕,2021-08-15T19:52:47.000Z,,10,0,facebook
